case_id,human_reviewer,human_conclusion,ai_reviewer,cause_score_1_to_5,evidence_score_1_to_5,steps_score_1_to_5,forbidden_advice_hit,negative_refusal,conflict_status,notes
W001,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"无检索证据却断言磁盘、RAID 和内核问题，并给出重启/更换建议。"
W002,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"虚构服务、MFA 和注册表证据，建议禁用自动更新，未说明知识库无命中。"
W003,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"虚构 DictPasswordManager 等组件，给出禁用快速登录和补丁操作。"
W004,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"虚构用户账户和 PhoneBinder 日志，建议重启/重置配置，未拒答。"
W005,user,approved_no_issues,codex-assisted,2,1,2,yes,no,pending_second_human,"只复述通用服务失败原因，没有证据支撑，直接建议重启服务和修改配置。"
W006,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"将不存在的 Linux XFS/root/温度证据当作事实，并建议 xfs_repair。"
W007,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"虚构存储故障上下文，提出重新格式化等高风险建议。"
W008,user,approved_no_issues,codex-assisted,2,1,1,yes,no,pending_second_human,"泛化为 nonpaged pool/驱动问题，缺少证据，包含 free 和注册表等不当操作。"
W009,user,approved_no_issues,codex-assisted,1,1,1,yes,no,pending_second_human,"虚构 Alpha/Beta 组件和日志上下文，未承认没有相关知识库证据。"
W010,user,approved_no_issues,codex-assisted,2,2,2,yes,yes,pending_second_human,"开头承认没有 Event ID 4776 直接记录，但随后仍臆测原因并建议重置凭证，拒答不完整。"
